Country,Year,Average_Monthly_Income,Cost_of_Living,Housing_Cost_Percentage,Tax_Rate,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,Region
South Africa,2021,,4038.04751,20.58132676,16.34859397,25.1248651,17.9736444,14.07273277,17.84716235,North America
Mexico,2003,,2416.892637,46.05282434,37.14873844,,17.24067752,8.345442362,13.7333465,Europe
Mexico,2010,5499.849652,4929.651927,48.87959972,14.61644399,20.06866746,8.138221073,14.4935355,18.60749703,Asia
France,2018,7201.798974,4839.787276,21.7239167,21.79180323,3.139786544,14.96589153,6.925235133,9.648358413,Oceania
United States,2020,9536.25389,3676.032366,29.29079433,18.17660762,25.22198409,8.935848621,12.45899077,13.39845678,Europe
Canada,2005,4710.386839,3841.550995,44.40801013,21.48915553,22.10572568,14.37784319,4.453005242,9.680381412,Oceania
Australia,2006,,2490.478925,46.1231541,19.56296281,,16.62418507,14.06306723,14.10967504,Oceania
United States,2011,7174.992691,7443.672261,35.31658979,14.29761535,7.329451417,6.803342679,13.99369109,8.79278608,Oceania
Japan,2016,,3391.678714,27.74179554,33.55532637,,17.78151657,14.92982886,19.04924867,Europe
France,2003,8191.76526,3301.343249,29.67283837,28.30311274,28.13709276,14.53506473,4.895487887,16.66202783,South America
China,2015,,967.2809415,22.12283136,36.69013935,2.871197754,11.13766667,6.073224859,18.38321643,Asia
Mexico,2022,,2052.959656,35.50977634,33.38668735,25.7728207,15.46225086,11.03177247,12.68075781,Asia
Germany,2003,5943.336738,7374.630812,20.46434997,38.62546596,21.32506936,16.63574335,11.12774138,11.93582361,North America
Brazil,2005,7340.684486,3032.386306,37.5890202,,22.98932674,8.82397506,13.73287382,12.41823223,South America
France,2001,,1016.741298,24.60076805,13.8762286,18.91108626,17.96210709,7.803642235,9.461787291,Europe
Japan,2007,5197.539462,814.8583712,25.35818633,,5.649054512,18.96083404,11.52771504,7.55002038,Oceania
United States,2015,,3642.49926,27.12425768,27.11520735,2.121874595,11.28168031,12.09607868,16.20160105,North America
Mexico,2021,9635.631789,,37.55025362,,8.153811493,15.38986707,8.696443181,18.17024689,North America
Australia,2017,5345.403553,5348.960342,42.7526269,24.7319009,4.528962233,12.81892504,11.78036889,17.09513508,North America
Mexico,2011,6449.188495,1202.462403,41.27110084,,25.81574611,16.13167029,5.053890575,10.33204842,Europe
Australia,2017,3969.638562,,,21.83419376,25.3537227,15.92224939,6.684954324,12.21183238,Oceania
South Africa,2003,2838.313721,7798.267343,,14.81536443,27.83948387,13.16473125,8.968413331,16.07779662,North America
Russia,2005,2564.6131,2875.014751,37.10110003,,2.604767939,19.97809153,13.23931524,8.71527743,Africa
Germany,2016,3653.263377,7459.985019,35.03443853,24.91046029,23.4564369,19.42217778,12.83081529,13.16104518,Asia
Brazil,2021,7120.588358,5876.667275,38.79308893,29.76586444,8.258210587,11.68899383,13.20847603,10.20336048,Africa
Brazil,2012,,3089.701753,30.70958807,,24.18922432,5.335946681,13.12106265,6.432066194,Europe
Canada,2019,8672.085801,5613.795833,22.31592742,12.54764708,20.00330502,7.530145111,14.24548232,9.354282108,North America
Russia,2004,7252.801652,5327.213976,35.26239434,37.54710548,14.08943894,19.25281345,14.91449726,17.95907256,Oceania
Canada,2012,2314.850931,1950.025628,40.99582759,,5.610510183,13.60706174,5.493464705,19.54043448,Africa
China,2004,3800.779096,6360.886904,41.7050646,24.92592346,4.964361096,12.3256372,12.53955352,13.91467766,South America
Japan,2020,8714.142382,,48.91233102,,29.19258482,11.47778371,5.179240771,12.37732046,South America
Germany,2016,4776.944967,7450.280697,40.69427212,20.52058349,23.76561727,13.08616894,13.70718089,12.91802958,Europe
Germany,2003,5852.014691,,40.33420164,19.3777973,,17.91721347,11.16727697,8.574279062,Africa
Canada,2005,3109.991238,2861.73718,42.30301216,38.95554263,,19.01475603,5.606660539,8.029539555,Asia
Mexico,2022,5307.05484,5623.310337,,38.40227697,,6.756402421,12.15228642,11.36312833,North America
France,2000,8754.91723,5835.567369,,31.82310924,,5.50590148,9.553512585,12.08232217,Africa
France,2014,4944.800319,2845.573399,35.94124349,27.23057135,16.61868067,7.145270564,14.13605557,19.706463,Oceania
Mexico,2005,8741.453653,4152.338485,,27.76119534,1.83386452,11.38478734,4.883934385,18.21309065,North America
Japan,2014,2397.461969,,28.49060853,,21.37156381,5.321041459,14.16316908,19.54157613,Asia
China,2005,5359.17327,1342.03057,40.05099714,17.71408793,,6.927473603,10.94913326,14.70463482,Europe
Germany,2020,5102.070846,2951.328456,,15.90515859,23.18886687,8.350695606,9.213673399,15.70766725,Europe
Australia,2008,2115.256055,2607.238146,23.29806897,21.06329552,,11.78013767,9.571675417,11.19376303,Africa
Australia,2019,2779.006909,3108.299924,35.96371073,27.03934776,29.46816699,19.12112597,6.3443686,15.76103627,Oceania
Brazil,2009,,4755.456896,,38.93723706,7.249176534,15.62676144,11.76815473,10.71682996,Oceania
Japan,2019,6817.419044,3826.397858,24.32228561,25.10471781,20.65890855,19.23385246,9.059039495,5.068141382,Europe
United States,2010,8254.145775,1726.74398,22.96551696,17.64504384,13.39616705,5.38841147,10.91218295,13.17579131,Oceania
China,2021,7454.015784,3777.600091,,19.68275143,10.91014902,8.028253637,4.476486636,7.975988498,Asia
Brazil,2017,4229.174756,6026.541419,45.25714499,,8.508163631,17.77312844,6.27100474,11.31686877,Europe
South Africa,2020,9361.729179,2756.535628,49.04389433,32.9380684,26.31754627,16.25158872,7.35617044,8.984586263,Oceania
Mexico,2014,2581.327138,2606.341375,,,,5.988249059,10.27315514,12.79767568,North America
United States,2011,,6237.145519,24.95719142,19.33580903,26.22426554,5.924596191,9.893623908,12.62701971,Oceania
Russia,2004,6185.898692,3291.870566,27.58808386,29.31088882,18.13882747,10.14511487,11.63346018,11.23966799,Oceania
Germany,2019,7728.725131,7295.878711,47.44116029,24.58476398,8.428241139,17.77866607,8.872388969,18.50319041,Europe
China,2021,,1960.405069,,,,17.14409953,6.766517219,19.65088857,Europe
Russia,2002,7472.631613,4758.156142,49.61954643,18.46492502,10.26722622,12.00059529,5.435002531,7.397186654,Asia
India,2005,,3512.34309,43.86724655,31.53188579,,10.78982648,7.206761409,11.07265194,Oceania
France,2021,,1436.628746,43.3927621,22.78362758,,18.25207014,6.405438103,6.164295726,Oceania
France,2001,3833.087127,6556.349954,28.03668293,14.29503721,28.99557159,17.52962222,12.39161254,5.220123745,Africa
France,2022,4047.280804,3025.557852,35.82098293,36.75371829,8.219588453,16.28688085,5.364721954,5.39597264,South America
Brazil,2007,4299.870263,4071.655159,29.30131261,,6.226262445,6.004984903,4.278903134,16.09503134,Oceania
Australia,2010,8211.076543,4643.7082,36.45668866,,12.81257519,18.02290894,6.629830049,10.81997667,Asia
Mexico,2001,8829.004869,1822.092358,,15.30949783,21.03737363,8.421209504,3.469200245,13.15808321,Asia
China,2012,2092.767309,4353.873704,49.30132672,25.01242174,29.88832935,6.444854115,10.69072432,6.483112288,North America
Russia,2020,8522.760746,7911.090182,29.20390004,37.56148775,29.70774548,11.69780218,8.625850561,19.2285768,South America
India,2016,7397.540731,3189.050284,41.13902539,,27.37956321,14.52461656,8.144136956,17.6032285,Oceania
United States,2005,4065.964453,4046.832294,23.25084858,24.71893259,,7.480177187,12.96866449,19.9021313,South America
France,2020,,684.1046839,29.85537295,23.14567314,4.457511464,14.79212631,3.415182048,6.860295022,North America
South Africa,2022,7764.304574,7973.508387,32.2063748,34.78661673,12.36328438,13.07909405,11.33144048,16.0164067,Oceania
Canada,2009,8134.530001,7249.219265,,31.21957341,17.95694617,13.24440944,14.52307732,9.142239758,Europe
Australia,2012,,2245.735411,44.49609966,29.66765609,7.010051238,18.70112714,10.16150152,10.748942,Oceania
Russia,2009,3659.639144,,42.2509995,31.18578723,,5.331953973,11.47802945,5.828095904,Africa
United States,2021,8794.401779,703.3397917,,,14.14034294,14.22855682,10.5824282,12.12766781,South America
South Africa,2002,6697.970426,,42.21858844,,21.88088707,5.167843503,12.51810169,6.624045334,Asia
Germany,2006,2910.169283,3845.062078,,,29.96776891,8.076907782,4.0301271,18.13477061,North America
United States,2003,8533.236094,6805.064205,25.45896353,11.28072956,18.06399466,14.54953106,7.341590659,13.6897041,South America
United States,2010,8631.194077,927.7563608,23.02300657,21.39200383,14.58186709,6.47662577,10.28552524,13.14418526,Oceania
France,2009,7538.899279,5311.522244,22.16673368,20.46685495,,11.87955455,3.525855815,6.145953335,Asia
Russia,2001,6185.372642,,29.38155453,,22.75911203,18.25719199,13.96047823,10.81135385,North America
Germany,2012,3120.274499,7936.107114,26.86584341,,3.689628823,16.62019601,12.77901307,17.81364261,Africa
Canada,2014,9498.522431,948.6973756,30.08182172,23.71745995,,18.54929235,10.90618099,11.36753563,Europe
United States,2000,4368.968364,2430.595936,31.69374258,12.69379668,,10.78777617,7.165850062,17.24083405,Oceania
United States,2005,7587.747456,1307.32496,,38.83621659,13.16784192,7.728064979,8.545544573,10.07523762,North America
United States,2021,3579.178741,,,28.86881888,,16.82744026,3.679955854,16.74411888,Oceania
India,2006,5763.230012,,27.23299049,24.92216164,19.4763157,9.941045517,6.338048882,6.752042319,North America
Brazil,2009,,,27.40464809,,,11.23111702,10.24961889,6.521914067,Oceania
United States,2013,6515.206249,1577.367412,,11.69397126,11.03370964,16.88436982,6.240797188,16.7177489,Europe
Australia,2013,2013.801352,7661.5897,37.8972848,,27.18694822,11.81208543,13.00364935,17.71366578,Europe
Japan,2020,7647.678062,695.9903815,,19.45749435,27.70599484,19.38403846,7.249445899,14.87206897,Europe
Japan,2005,2024.513428,3580.497892,31.38917898,14.88504867,6.667060926,16.71357158,13.50232251,17.44826994,Africa
United States,2001,,3131.279405,30.81554844,37.17883162,29.53287748,11.71648069,8.371321054,9.002380541,Europe
United States,2019,,2984.339675,40.35765475,17.56699667,12.53156568,19.4393398,6.914600331,6.158941177,Europe
South Africa,2001,6607.328865,658.2406167,48.03639325,12.08147248,,15.6772233,13.00979626,16.01677831,North America
Germany,2001,6483.920951,2117.353008,41.7287516,23.88128136,1.442561035,12.97932646,4.470042229,15.64979416,North America
Canada,2004,,7143.33371,43.14998336,35.99123132,3.159886252,16.1736906,7.912290244,16.79972079,South America
Brazil,2000,2659.365368,,36.93552001,34.83836855,,10.47454926,5.606439597,7.437992351,Africa
Mexico,2016,4126.878219,3891.165937,22.55119039,,14.9259103,19.54081238,7.281979744,18.39702473,South America
China,2014,5414.05969,699.5842223,31.11576916,38.45744527,23.53908884,19.44095323,12.35599376,11.22019598,Asia
Australia,2019,9246.584599,6103.646759,30.63259059,30.6288748,4.171637415,5.392759858,11.45082435,12.45887378,Oceania
Russia,2003,8569.692463,6957.15237,47.1165245,34.30595519,14.73641125,10.16713689,12.85511136,17.16380275,Oceania
India,2015,,985.0689167,40.13451721,16.38223744,11.29113653,13.0184246,7.01736941,6.759123522,Europe
Mexico,2009,4923.910532,6371.164708,35.55259188,15.76100542,25.16403655,6.568340571,7.548511828,10.33888812,Oceania
Mexico,2014,4725.618201,1310.791347,36.45546559,10.33118823,12.83961721,8.5872656,12.11076761,17.33431652,North America
France,2009,,4463.807226,43.16438594,,,17.34404973,11.45152287,5.928233996,Asia
United States,2010,9362.717353,,49.21391593,20.27676751,5.16610868,6.817570558,7.67967166,10.1222525,South America
Australia,2007,8675.822546,4448.537407,47.04155625,22.47879366,8.78675874,18.72651538,8.570040532,16.42476766,Africa
Australia,2004,8494.689519,6569.979486,,24.12330194,16.01917254,9.765281829,4.52096369,18.00459534,Oceania
India,2006,,6962.200011,46.24202524,,,8.649821044,4.820041553,19.17963643,Asia
France,2011,9649.064956,1620.067067,,,,6.676764814,6.572561166,17.84735979,Asia
Australia,2011,6294.486284,,20.28522162,,17.43839659,19.94574253,12.8341547,7.876258682,Europe
South Africa,2009,,,40.5508928,32.71791041,10.19348195,10.05097657,7.556343238,17.73351685,Asia
Canada,2002,,3235.866957,,21.27434583,8.288427495,19.44581075,3.126688564,8.318002469,Asia
Russia,2008,,3577.290472,42.08100663,34.24367094,,19.28955344,7.686530007,18.04759625,South America
Mexico,2012,2432.363804,,45.52098538,33.05511639,,7.702762758,6.930730163,8.917258032,Asia
Australia,2015,6264.705416,2901.190622,21.63930038,17.13785558,5.470826414,7.156194606,10.99434631,14.92166746,Africa
Russia,2005,8290.865237,624.0346318,30.75089022,38.00559071,29.17016251,7.073586311,9.445111025,17.92165851,Oceania
Canada,2000,9165.361718,,21.83389038,,18.91538536,17.08963177,11.19882783,18.17361014,South America
Brazil,2003,9904.993954,6536.974676,,32.62594734,19.98804566,17.90925977,9.314161781,10.46285531,North America
Canada,2016,,,42.36959833,29.6309271,6.228453026,5.36052875,11.4747263,15.90130053,Oceania
South Africa,2004,2771.950151,2128.070886,45.415975,21.00507377,25.82845349,16.34205726,5.939464591,5.979889553,Africa
China,2003,,2677.406606,33.84526682,32.3192604,25.78564998,8.945442958,7.267431256,6.214020628,Africa
Russia,2021,5272.657788,,49.88184118,24.01259262,21.38020566,5.779739668,11.14536932,13.66889065,Africa
China,2006,5351.922282,,,37.95195184,3.715612156,8.177915478,6.166345171,15.87742967,South America
Canada,2003,2667.191916,,30.25507153,,20.67693031,16.33713442,10.82285953,5.005019596,Asia
India,2011,8313.53486,1883.831415,38.27543808,27.70547713,26.58645654,9.629414083,4.248475769,11.46864076,North America
Russia,2012,3690.201233,5347.878914,38.03519251,21.91959337,,15.05764808,5.880216387,14.87406596,Asia
Canada,2018,,,38.2983534,16.10623666,25.79220072,15.75555574,5.433431704,19.7901818,North America
Russia,2002,8428.768239,2580.220236,48.12589039,10.7522882,,19.17113415,14.66075441,15.84765589,Oceania
France,2010,4169.460926,7980.318485,33.6308843,36.53550386,,18.86357829,12.38514316,19.09788619,South America
Germany,2014,8996.965271,4425.730117,44.07551555,19.42589486,16.83541002,17.62918072,3.047648102,6.403026187,Europe
Japan,2007,,1368.83756,47.7657676,13.32241131,27.00556563,16.11863153,3.756012026,14.38493658,Asia
Brazil,2011,5479.378891,934.3657847,,22.88266849,24.10213876,10.49139882,4.363896084,18.89195966,North America
China,2009,5680.63951,1393.03163,30.34002697,34.88920516,,15.40109878,14.54906024,6.388725341,Europe
Russia,2005,,,44.38671459,26.07269054,23.31507372,11.31475875,10.24099573,6.260468621,North America
India,2009,4082.206081,,43.34196876,,,11.45224077,11.29963173,18.84167217,South America
Brazil,2013,4832.848387,,22.74504976,,,11.06775891,12.85508732,18.45288156,Africa
India,2008,4397.998873,7433.653721,24.25060219,33.14124216,4.314629692,14.51529345,9.10388604,14.31907433,Africa
India,2009,8156.963817,7135.57647,43.75994518,,,17.54957273,11.79964954,9.32265874,North America
Brazil,2016,,5577.518395,45.46370059,,16.19772364,9.596104037,10.17307422,13.27851357,North America
Russia,2002,9273.681187,,35.78814023,20.87189254,8.038549563,15.77105557,3.625179542,8.034099186,South America
South Africa,2004,9217.768803,925.0063249,39.93480046,15.91505366,,8.798106234,7.385560261,11.56617083,Europe
Russia,2001,2620.435738,3546.067047,48.90080911,15.96489107,0.754662845,12.63174721,10.89010999,9.381856845,North America
India,2008,2512.139802,1814.115553,39.30771534,19.98553625,23.69775487,13.91060243,9.839356726,18.98019341,South America
Australia,2020,9764.817084,2493.38982,31.69046303,,19.87098991,8.066616768,7.108491762,15.56672032,Oceania
South Africa,2001,6347.902785,,35.63923979,27.65352248,19.39397155,13.97635067,12.22884908,5.109915673,North America
China,2008,9241.584792,3508.721227,33.86278568,34.41524108,1.879000751,18.11763378,6.626574702,17.23156699,Africa
India,2004,4321.633478,6980.407,28.20299981,24.90856761,20.48381939,15.44013654,10.1679559,7.086917731,South America
South Africa,2007,3132.321469,,,12.30158321,21.72656479,5.202225546,10.62276805,16.76676528,South America
South Africa,2020,2336.93496,7695.848081,23.0167583,18.84163408,8.888636414,10.81515778,14.24204082,11.42463716,North America
India,2017,,7687.17983,23.19742958,,19.48106529,18.39246044,6.318971453,5.259178958,Africa
United States,2014,5382.607702,3325.826005,43.76930253,17.92941068,1.94672594,16.3035111,11.26532591,11.55261074,South America
Canada,2002,4913.723391,,26.09907547,24.99292504,9.839014971,6.342877595,10.76091217,7.534009824,Africa
Australia,2002,7735.381826,6960.709011,42.15496613,,19.11094727,6.586089157,10.01144532,13.58358652,North America
United States,2021,6618.009052,,40.78789719,32.18078373,15.90537595,14.23735834,9.008303941,12.56610814,North America
Mexico,2013,6897.499768,,23.07334082,,,10.38910007,10.76119901,15.21787286,Oceania
Australia,2012,4738.114828,1659.317715,48.29302188,38.14153806,,18.67523195,4.33234653,17.98281278,North America
Canada,2011,7674.423332,6920.38929,,38.89765879,20.94379344,15.28244809,4.990435584,11.10312292,Africa
United States,2006,7873.05248,556.6542037,42.11478494,36.9820664,10.07677853,18.17556628,5.600759488,9.846002861,North America
Mexico,2016,8336.188115,3090.236157,35.78032564,38.77422559,1.15746723,13.01554549,4.314783563,12.83313172,Africa
China,2018,2461.168569,5621.080193,39.51364791,18.49429758,,6.515904058,9.853034054,9.182668795,South America
Japan,2008,,947.4484967,,39.41222523,,10.62761734,8.374597,13.59522683,North America
Australia,2012,3878.680691,3235.508657,24.34378952,33.9403337,19.58776468,7.707444837,8.124244313,17.33230192,South America
Mexico,2000,7964.379702,1406.314608,23.56357035,13.65755686,,14.97270199,8.530414209,18.29844052,Asia
Japan,2004,9845.277613,1539.982456,,30.26822942,13.51060496,15.72189431,8.063258322,9.235797401,Europe
Mexico,2011,8536.911671,7491.515856,25.69248433,31.2666341,18.34414781,10.41029354,6.017684946,6.8872314,Oceania
South Africa,2018,8859.236028,4704.240496,46.26111243,15.37261184,25.21015634,15.43086834,13.04509237,15.40115148,Oceania
China,2012,,7620.376908,41.99638485,31.56240229,26.44671263,6.66132056,10.92677639,12.41243463,Africa
Canada,2016,,1607.249965,26.27316793,,5.766713873,15.03915284,10.20375533,14.50839577,South America
Russia,2001,8227.664367,5052.546576,28.98100898,31.8652363,,7.34906169,7.4358175,11.98753735,South America
Germany,2002,,,26.04372855,,,19.52171058,14.08176773,10.58882052,North America
India,2002,8446.872227,6706.246138,,35.41345877,0.704532679,16.37414619,3.784365951,12.46392505,South America
South Africa,2005,6196.477049,2100.357373,,33.80456082,23.47349943,10.22714917,13.04960325,11.85407715,North America
France,2020,5913.952085,3707.686148,47.15135441,20.73665005,13.90871838,11.20331764,4.247568548,9.946082853,South America
Australia,2008,7451.730763,2631.243397,29.62506871,,25.97572331,16.0726209,5.633295819,19.58621902,Europe
Brazil,2000,2537.194054,,,29.54642225,14.6649472,17.99556246,11.19477544,9.956329171,Africa
Russia,2011,4950.611532,5492.753377,,,1.630405358,8.894159152,9.302433045,12.62921558,Africa
South Africa,2020,3792.764535,2600.209192,46.35010716,,3.113962142,8.087819184,9.548411362,10.83742871,South America
Canada,2008,8376.766429,1089.161646,26.50680984,22.04692755,18.95322189,18.00383475,7.31112431,8.12761639,Asia
United States,2002,,6668.829314,45.26133756,,24.52694547,6.309306747,10.70133442,15.03645995,Oceania
Australia,2011,4411.884599,6598.959528,30.80107298,36.48986792,14.34891147,8.004270864,11.63042891,7.605056335,North America
France,2008,2334.840409,878.9930511,,34.99787532,,8.586354756,8.684859745,6.161808259,Europe
Canada,2014,9255.325245,4796.142718,31.88717186,,24.91030914,7.782065955,3.77691841,10.04145207,North America
Brazil,2012,3375.347382,2172.677532,48.94412266,34.51928451,3.2514928,6.663109732,4.520482893,16.53844555,Oceania
South Africa,2001,2921.933507,6318.609967,,,6.958731351,17.98438399,6.875111107,14.64363369,Africa
China,2022,6824.307459,,40.34345039,26.61964808,1.810419018,17.85310624,5.279349206,17.66318299,Oceania
China,2009,4270.369733,,43.770639,16.84587394,21.29236223,13.92298084,11.17487067,12.22914074,Europe
Japan,2013,,4585.672203,,13.71585396,14.09203659,6.263981271,9.841572402,13.89629056,North America
China,2013,9975.942024,7065.970436,36.26161776,21.21206797,,17.1494551,9.38274218,12.41399205,Africa
Japan,2000,8704.457598,4447.522016,49.46784935,35.71461728,,13.0695461,4.908105091,11.05210523,Asia
Brazil,2020,,1719.829339,26.86508527,30.01329771,12.69922372,8.173801355,13.37663896,18.6095498,Oceania
Mexico,2013,5401.526629,3073.885391,29.8263694,22.22174892,24.29892163,12.61363054,12.68028224,8.228988804,Asia
Brazil,2019,8216.969864,6127.182004,25.76294037,35.40309721,,8.996428261,5.165387419,16.54878383,South America
China,2022,5036.128701,,30.08065211,35.43425484,4.400570172,8.797585507,8.402626044,11.91052718,Asia
France,2007,8133.502456,2722.474382,27.06151598,14.47764622,4.362454067,14.13050528,6.962293395,15.91170454,South America
Germany,2006,8138.67548,3202.808945,,36.45428422,25.95684841,11.89444358,5.340405397,11.4457007,Asia
South Africa,2002,3025.935235,,44.70677672,13.07260017,,8.174543319,11.37191442,6.282505294,North America
Australia,2020,3528.157296,5881.205986,,27.28798484,,14.22148238,3.225333164,5.339568195,Oceania
United States,2016,9365.552224,1245.672749,46.83144647,13.69046237,14.0355844,14.69116125,7.318045112,17.10904363,Asia
Canada,2015,2754.765329,7206.138722,20.50501545,16.43476916,1.747235316,12.66857573,7.262712117,14.55795504,North America
South Africa,2008,8362.381637,,26.41097861,13.44724167,4.226456252,17.73283733,3.811642367,11.31993124,Oceania
Japan,2020,,653.769057,44.05424488,38.4249901,29.86303126,11.81787648,7.130687918,14.76649045,Europe
Canada,2016,,7722.543768,33.21193472,15.00236904,27.53108626,10.47783161,10.96249483,10.76588263,Asia
Brazil,2004,7366.174941,,48.06421546,28.33449112,9.532681348,5.754842456,3.078830057,11.21744358,Oceania
Japan,2002,2928.642474,3051.321894,32.66263395,22.98805327,26.16289888,16.99658886,5.149978228,17.64410547,Oceania
Russia,2018,3559.732194,7143.085819,,11.4529857,13.30559516,8.706198685,12.68978693,5.213355254,Oceania
India,2019,,1984.12761,45.23438381,34.98483626,15.79984325,5.542569148,3.919328491,14.68915056,Africa
Australia,2010,6625.014555,5589.063712,25.03295776,10.60546964,3.219917345,9.027834528,9.161286919,9.341683665,Asia
Germany,2010,,,,32.69445641,,18.6897691,3.569444301,12.42396232,North America
France,2013,2068.707307,4101.488435,48.81423016,32.19360501,13.81145087,10.26154097,8.613008433,19.765514,North America
Australia,2006,,7130.709321,30.44339346,28.72679935,2.906161772,17.87090224,8.934459031,9.512054208,Africa
Japan,2000,7778.692414,4819.918793,46.40151511,31.29890339,28.1661355,16.31868008,12.40187854,8.125415512,South America
India,2012,,3355.363407,22.77068984,,20.52873625,13.18269976,13.31598686,13.58733672,Europe
Canada,2022,5992.255071,5119.872017,21.57627522,,3.930162048,18.12499043,12.9553701,5.101118579,Oceania
Brazil,2003,,1751.711943,35.3900828,35.47749594,1.552011959,17.33870042,14.39896766,13.86558946,Africa
Canada,2014,,7936.065835,47.76224955,21.81812392,,7.189856406,9.962182901,17.82154837,Asia
India,2005,5380.90299,,39.92619102,37.38229632,26.68193923,17.98775729,14.83217626,9.345669843,North America
Canada,2010,,4711.766097,,21.87307381,21.10952759,15.67869185,14.75560131,17.08187412,South America
Australia,2022,,2749.840033,43.35217338,22.32384521,,13.56265406,12.51690865,18.40591134,Europe
Germany,2015,3908.209068,7257.557802,44.28022223,,13.79213724,14.30693654,14.17671596,18.28926751,Europe
Brazil,2006,,4245.141636,48.12780165,33.85815275,,15.5096833,14.85841392,12.24528798,North America
France,2004,,6089.827878,39.9921168,10.58066184,1.455258931,6.956989555,6.2709548,9.048560709,North America
Canada,2003,8078.75957,1405.021748,48.98963592,31.48693316,,13.46941097,12.74092833,5.232964562,Asia
South Africa,2003,9678.42866,5973.270383,43.7975193,18.66742895,26.68620711,7.309050345,4.455292275,5.238412964,South America
India,2008,7838.630842,,30.00719149,31.27474993,11.56840173,6.252515263,14.43725888,16.99492457,Asia
Japan,2014,7190.86102,1183.19952,24.57991477,,7.411236125,17.39629415,9.763004577,13.8420148,South America
China,2001,9054.479494,7019.968679,42.19083853,39.05575876,0.838305966,15.25418713,11.292877,13.48637473,North America
Canada,2014,3674.041153,2194.780713,,30.83744804,8.851370924,18.37499668,7.564817665,7.496792991,Oceania
India,2004,9918.329783,,40.82557958,,24.6593701,10.17280202,14.59663079,8.78383733,South America
France,2021,2797.9302,1470.62883,33.2863548,22.83922698,,17.17305366,5.129666572,12.77473143,North America
United States,2013,5787.942358,6538.286715,,10.93153201,25.68837511,14.11235179,5.300685885,5.889330106,Europe
Canada,2011,8073.200083,2189.051914,36.58798406,31.42064296,19.47232345,19.37800083,3.54479591,12.08800113,South America
Japan,2021,5617.848363,5918.941732,22.93801458,19.65329417,3.492591136,15.99608491,10.63641129,15.55359277,Europe
Germany,2022,3290.276069,6499.34952,33.30549262,21.09552532,24.77360137,18.98128145,7.356052245,8.110394451,Europe
Mexico,2012,8791.422838,,48.94628932,29.7544059,24.83121303,14.82656931,10.89394659,13.93716383,Europe
Mexico,2013,9667.405481,7777.72722,27.29419333,17.54219016,14.49554476,17.18979346,5.76489385,19.86463265,South America
Germany,2012,8706.167191,4423.637058,39.97762184,38.7108731,9.290416034,6.341823978,9.933487094,14.6223898,Africa
China,2019,,5229.397383,47.50646353,,6.774159292,9.986576277,11.61378569,5.054233875,North America
Mexico,2018,,3453.353927,36.71998527,,29.74441063,7.921338931,14.07046648,10.42143657,North America
India,2005,6569.357245,3082.206309,,37.33422378,19.97193698,12.35581296,13.78866906,12.28891292,Europe
Mexico,2008,3214.172674,2342.213699,,32.87469767,1.096103377,18.26756014,9.217835743,11.37969694,Africa
Mexico,2008,,,30.14740579,18.00221055,24.22191692,17.26335737,14.21221806,15.55749906,Asia
South Africa,2010,9435.438301,,36.1911895,17.80904553,17.83041018,19.07823329,14.44368454,12.59873495,Europe
South Africa,2016,2233.53577,1320.312293,,27.32674466,12.96481622,7.229695028,11.3313131,9.485536208,Oceania
Russia,2003,5433.359439,6585.779017,36.14989297,25.1328637,,15.25633255,10.75596116,19.14875941,North America
France,2021,5393.53773,1832.8338,47.00871618,,,12.20126703,3.597109879,19.724196,South America
Japan,2018,8806.699611,1764.346125,49.33880951,19.90789462,21.29567308,14.99057934,6.474777327,14.93812598,Oceania
Canada,2005,2748.201229,553.8860107,27.76072968,13.92826979,6.532629232,12.24928614,6.217781789,16.48570067,Africa
China,2014,8325.15461,5380.000722,,20.68814665,13.01533204,7.546204404,9.130834341,18.58897722,South America
Mexico,2010,5598.161979,7093.692988,42.73248188,37.0236532,0.466391763,14.06245741,7.742081347,6.948112364,South America
United States,2022,,4455.595172,,,5.267756812,8.163472111,8.622372826,14.1537792,North America
South Africa,2002,2955.076398,,23.25945228,19.4656972,17.8690263,6.706137064,11.18256541,9.483445995,Africa
China,2007,3851.109827,,27.68260482,16.83177297,20.32621431,16.28709612,3.005799326,17.62851303,Oceania
Canada,2011,7243.420491,4376.494258,35.27351993,32.65438223,2.779344248,15.15497678,9.635009096,5.742157569,Oceania
Russia,2019,,6341.342838,41.09368434,19.38228707,20.21800662,15.68199104,13.00605671,18.12361683,South America
United States,2006,4069.498854,3649.003665,34.91941469,16.13805291,24.84429034,12.70144767,12.60268018,12.49687019,Asia
India,2005,2600.95131,6552.865474,41.52472352,35.60793089,21.48472872,17.75429556,11.73340407,12.30474659,Africa
France,2008,,2869.935198,24.84133096,27.02922861,8.195780681,14.1036864,12.98507077,9.806063283,South America
Mexico,2004,2917.711992,,36.71509352,15.08962177,5.478406667,10.64373476,7.071658236,8.060673426,North America
Australia,2010,7894.569709,5784.654079,,26.9106976,25.8189939,11.17684921,14.13257207,8.195095117,North America
Russia,2015,,6791.93354,,13.32347894,,16.76161281,5.757025159,8.084779698,Oceania
Germany,2003,5843.585536,,,16.84514218,26.29702633,7.644755732,12.88408986,8.1332153,Asia
Australia,2018,,2315.556017,,15.73840923,,9.998212538,7.149291876,8.213418878,Europe
